recall,precision,std_recall,std_precision,type
0.15,0.5957758954327946,0.0,0.06250098570083155,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.155,0.5965548364269823,0.0,0.06280459729405652,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.16,0.5915321750747733,0.0,0.05493340457158457,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.165,0.591709162127507,0.0,0.05161920394674707,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.17,0.5909516237337379,0.0,0.05203935093672646,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.17500000000000002,0.5932341894395732,0.0,0.05076683037904971,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.18,0.5845538651259232,0.0,0.05096985123689655,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.185,0.5820502313608504,0.0,0.048452835127932796,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.19,0.5813215025159304,0.0,0.04469260669673543,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.195,0.5797983727344127,0.0,0.04049567989382878,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.2,0.5798329056572928,0.0,0.04009698971827347,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.205,0.5801053591362708,0.0,0.03942943960938016,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.21000000000000002,0.5792726338781125,2.7755575615628914e-17,0.03799600465421874,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.215,0.5775182469710463,0.0,0.0363098793715514,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.22000000000000003,0.5775892169576243,2.7755575615628914e-17,0.037564028341059486,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.225,0.5779581804106244,0.0,0.0375228478078891,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.23000000000000004,0.5760110413825043,2.7755575615628914e-17,0.03648362546888641,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.23499999999999996,0.5761074745355361,2.7755575615628914e-17,0.035992327223182435,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.24,0.5751575761313333,0.0,0.03682778885527674,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.24500000000000002,0.5746685954365709,2.7755575615628914e-17,0.03806016974062926,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.25,0.5753282158410326,0.0,0.037382097366263814,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.255,0.5742616964892502,0.0,0.03830052733003997,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.26,0.5733255379430295,0.0,0.03829382956591555,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.265,0.5740679214139431,0.0,0.038092166179748484,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.27,0.5721789976099987,0.0,0.04006931456970356,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.275,0.5704351685031044,0.0,0.03992081460881628,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.28,0.5669437441819637,0.0,0.04024501729430454,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.28500000000000003,0.5660118867488517,0.0,0.03880682571552717,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.29,0.5670305007748007,0.0,0.03809553633581046,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.295,0.5682352851713018,0.0,0.037894248285173945,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.3,0.5670269338216498,0.0,0.03655836290604892,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.305,0.5646443138534326,0.0,0.03542997613018788,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.31,0.5643681608554741,0.0,0.034625154133735896,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.315,0.5637038163407595,0.0,0.035458445429314304,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.32,0.5637273640390775,0.0,0.03678841654003737,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.325,0.5626941507684371,0.0,0.03675128605861518,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.33,0.5613261891963222,0.0,0.03595807084752245,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.335,0.5609987226906528,0.0,0.03543290167988929,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.34,0.5580661284785383,0.0,0.034543168607342876,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.34500000000000003,0.5564918512437754,0.0,0.03303306365483955,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.35000000000000003,0.5556103595518045,0.0,0.03134173999281061,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.355,0.5549877143069797,0.0,0.03057749203030888,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.36,0.5546803266128583,0.0,0.030141257539973147,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.365,0.5541198185474187,0.0,0.028642203249783456,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.37,0.553160675513001,0.0,0.027866611091389843,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.375,0.5532584496987809,0.0,0.027562905698729746,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.38,0.5514318990363944,0.0,0.025929679960954494,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.385,0.5488995300584162,0.0,0.024863980526046665,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.39,0.5493494156402888,0.0,0.026492453480480602,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.395,0.5498572449274395,0.0,0.026521737392002837,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.4,0.5490176123690225,0.0,0.02664217910201156,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.4050000000000001,0.5483496701545885,5.551115123125783e-17,0.027195306181897885,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.41,0.5473662389357961,0.0,0.02657485340691787,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.4149999999999999,0.5450577489686277,5.551115123125783e-17,0.02531726028937557,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.42000000000000004,0.5430103811181551,5.551115123125783e-17,0.024863724031008543,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.425,0.5426217258840768,0.0,0.02391598222753251,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.43,0.5410494289619304,0.0,0.023385635331379422,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.43499999999999994,0.5409386025569864,5.551115123125783e-17,0.022901417501015084,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.44000000000000006,0.5392631668709925,5.551115123125783e-17,0.02258517111287229,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.445,0.5398227336145077,0.0,0.022765783450822388,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.45,0.5408228235728785,0.0,0.022572320958697174,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.45499999999999996,0.5402537212120434,5.551115123125783e-17,0.021096002617387945,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.4600000000000001,0.5402842247532452,5.551115123125783e-17,0.022085318908138883,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.465,0.5398431883952066,0.0,0.021999131959966212,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.4699999999999999,0.5390476950876935,5.551115123125783e-17,0.021886204494771466,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.475,0.539200889079681,0.0,0.021943421814968455,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.48,0.5404373973462501,0.0,0.02202456890586237,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.485,0.5383999840625104,0.0,0.021853599729195768,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.49000000000000005,0.5373990436056671,5.551115123125783e-17,0.021890164645937547,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.495,0.5357900585752101,0.0,0.021586586136344246,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.5,0.5347720380007775,0.0,0.021804246603521198,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.505,0.5346074009489694,0.0,0.021806121915118472,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.51,0.5346754496817736,0.0,0.02158375319395569,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.515,0.5351577801406991,0.0,0.022296750475804445,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.52,0.5348006531433772,0.0,0.020958106911779857,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.525,0.5346607228815706,0.0,0.020245939743142906,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.53,0.5341306185077789,0.0,0.019529973395231368,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.535,0.5349193747461956,0.0,0.019304393165366786,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.54,0.5353172318901926,0.0,0.019342012499971882,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.545,0.533731645248268,0.0,0.01921640222901594,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.55,0.5341488318051194,0.0,0.0183596434539378,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.555,0.5329691597634795,0.0,0.017854360124258666,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.56,0.5328851080566036,0.0,0.01743503064249168,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
