fpr,tpr,std_fpr,std_tpr,type
0.10500000000000001,0.14903457176184448,1.3877787807814457e-17,0.03164653468062824,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.11000000000000001,0.15429332412803487,1.3877787807814457e-17,0.029456868455045283,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.11500000000000002,0.16195605823704998,1.3877787807814457e-17,0.02829421880058035,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.12,0.1657121810014372,0.0,0.028390229973400738,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.125,0.17307416357003133,0.0,0.028577254543721772,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.13,0.17743066131495885,0.0,0.030917991092029667,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.135,0.18464170406319166,0.0,0.031578337550314105,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.14,0.19110233449076425,0.0,0.029667217364818227,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.145,0.19635928189647198,0.0,0.03147870042447255,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.15,0.20537426983707974,0.0,0.030738162620347568,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.155,0.2143893705877177,0.0,0.02849391436077569,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.16,0.2219004880161905,0.0,0.030471846446193405,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.165,0.2273091649124707,0.0,0.0300909718141895,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.17,0.23497122216130478,0.0,0.033153952981684644,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.17500000000000002,0.24038001186761515,0.0,0.03354573897870076,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.18,0.24533846393350528,0.0,0.03392320657362472,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.185,0.25164849297080705,0.0,0.036553446737465495,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.19,0.25645656926648663,0.0,0.03342522540513109,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.195,0.2627668239238487,0.0,0.032354369789005605,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.2,0.2677245991295578,0.0,0.03290311594819764,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.205,0.2743352668972504,0.0,0.03285449064981987,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.21000000000000002,0.2792934933430801,2.7755575615628914e-17,0.03449286830034611,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.215,0.28515273349984094,0.0,0.035742215390767024,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.22000000000000003,0.2916117845869913,2.7755575615628914e-17,0.036488206235360705,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.225,0.29672027399300127,0.0,0.036507961283098925,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.23000000000000004,0.30212906369931164,2.7755575615628914e-17,0.036221159741421816,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.23499999999999996,0.30678631298466014,2.7755575615628914e-17,0.03626278218226629,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.24,0.3117449906706105,0.0,0.03444787617179407,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.24500000000000002,0.3164021271459288,2.7755575615628914e-17,0.03466092560063388,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.25,0.32015847553037635,0.0,0.03556434151213739,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.255,0.32346347098413214,0.0,0.03581459358454195,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
